ACCOUNT_NO,TRANSFORMER_CODE,POLE,CAPACITY,INV_CAPACITY,NET_CON_START_DATE
205352411,BZ0109,AR48M//J,6.27,5.0,2025-02-21 17:14:13
205352510,BZ0109,AR48H//E2,3.3,3.5,2018-02-22 11:58:43
205352807,BZ0109,AR48M//E4,26.78,20.0,2025-01-24 18:11:10
205356305,BZ0109,AR48M//B,5.0,5.0,2017-02-23 00:00:00
205357702,BZ0109,AR48M/A,4.77,5.0,2017-09-19 18:01:43
205106803,BZ0109,AR48Q//6A,4.2,5.0,2022-01-24 18:58:06
205121411,BZ0109,AR48U/Q,6.05,5.0,2025-05-16 17:35:55
205134501,BZ0109,AR48U/P/E/A,5.5,5.0,2025-05-15 18:26:33
205057611,BZ0109,AR48X//2,2.76,3.0,2017-08-01 00:00:00
205060108,BZ0109,AR48W/C,15.9,15.0,2024-03-26 10:33:24
205060504,BZ0109,AR48W/C,26.88,30.0,2024-03-26 11:04:39
205025007,BZ0109,AR48X1/1,20.14,20.0,2018-11-26 14:50:01
205025601,BZ0109,AR48X1/1,7.95,8.6,2018-11-26 15:13:54
205025909,BZ0109,AR48X1,5.13,5.0,2024-03-07 10:00:41
207888604,BZ0109,AR48U/P/C,6.22,5.0,2024-04-22 11:24:41
209738606,BZ0109,AR48Q3,6.54,5.0,2023-03-17 12:43:05
209575003,BZ0109,AR48N/B,4.5,5.0,2015-05-11 00:00:00
209759803,BZ0109,AR48N2,5.31,5.0,2025-01-10 10:17:36
209105501,BZ0109,AR48M//B3,5.05,5.0,2022-02-14 17:57:09
209887106,BZ0109,AR48U/D/D/B,5.2,5.0,2020-09-17 12:08:41
209806201,BZ0109,AR48U/N//3,5.8,5.0,2025-03-08 09:50:12
