time,meas_kw,sim_kw,meas_V,sim_V,solar_kw,loading_pct
00:00,131.42,69.01,230.3,229.2,0.0,18.2
00:15,128.35,69.19,231.1,229.2,0.0,18.2
00:30,131.24,69.96,231.0,229.2,0.0,18.4
00:45,131.85,70.87,231.4,229.1,0.0,18.7
01:00,124.1,71.78,228.9,229.1,0.0,18.9
01:15,121.16,72.69,230.0,229.1,0.0,19.2
01:30,123.66,73.59,231.1,229.1,0.0,19.4
01:45,120.44,74.5,231.1,229.0,0.0,19.6
02:00,119.6,75.41,231.8,229.0,0.0,19.9
02:15,118.75,76.32,232.0,229.0,0.0,20.1
02:30,117.89,77.23,232.1,229.0,0.0,20.4
02:45,119.26,78.13,232.6,228.9,0.0,20.6
03:00,118.95,79.04,229.8,228.9,0.0,20.9
03:15,118.29,79.94,229.8,228.9,0.0,21.1
03:30,111.29,80.85,230.9,228.9,0.0,21.3
03:45,105.07,80.51,230.6,228.8,3.5,21.3
04:00,105.73,81.11,230.7,228.8,4.4,21.4
04:15,106.31,81.69,229.9,228.8,5.3,21.6
04:30,108.65,82.89,230.9,228.8,4.5,21.9
04:45,102.9,81.25,231.4,228.8,11.7,21.5
05:00,97.88,79.87,230.8,228.8,18.2,21.1
05:15,99.29,80.74,231.3,228.8,18.3,21.3
05:30,103.43,82.56,230.4,228.7,15.7,21.8
05:45,109.31,84.99,230.4,228.7,11.3,22.5
06:00,108.51,80.32,229.5,228.9,0.0,21.2
06:15,109.8,80.94,229.1,228.9,0.0,21.4
06:30,106.75,81.21,229.0,228.8,0.9,21.4
06:45,102.08,79.77,233.0,228.8,6.6,21.1
07:00,106.18,81.41,232.6,228.8,3.5,21.5
07:15,98.59,78.92,232.0,228.8,12.0,20.8
07:30,85.87,74.64,231.1,228.9,25.7,19.7
07:45,76.1,71.42,231.9,228.9,36.4,18.8
08:00,64.26,67.48,230.5,229.0,49.2,17.8
08:15,62.9,67.18,228.5,229.0,51.4,17.7
08:30,62.72,67.27,232.2,229.0,52.5,17.7
08:45,62.3,67.28,230.8,229.0,53.8,17.7
09:00,46.45,61.99,229.2,229.0,70.6,16.3
09:15,24.77,54.78,230.2,229.1,93.1,14.4
09:30,50.47,63.68,228.6,229.0,68.3,16.7
09:45,111.66,85.03,228.2,228.7,8.0,22.4
10:00,107.58,83.72,231.3,228.7,12.7,22.0
10:15,111.87,85.3,230.2,228.7,8.7,22.4
10:30,103.7,82.48,229.3,228.7,17.0,21.7
10:45,111.45,85.25,229.4,228.7,9.3,22.4
11:00,104.5,82.86,231.1,228.7,16.4,21.8
11:15,95.59,79.79,231.2,228.8,25.3,21.0
11:30,58.79,67.11,238.3,228.9,62.2,17.6
11:45,-16.32,41.79,237.2,229.2,137.3,10.9
12:00,-45.66,32.09,238.2,229.4,166.5,8.3
12:15,-53.47,29.46,237.9,229.4,173.9,7.6
12:30,-46.58,31.6,235.3,229.4,166.5,8.2
12:45,-34.92,35.32,236.8,229.3,154.3,9.2
13:00,-34.35,35.41,238.5,229.3,153.4,9.2
13:15,-5.83,44.84,236.7,229.2,124.9,11.7
13:30,-19.09,40.41,236.5,229.3,138.4,10.6
13:45,-21.85,39.49,235.3,229.3,141.5,10.3
14:00,15.6,52.0,233.5,229.1,104.3,13.6
14:15,7.08,49.13,232.6,229.2,113.1,12.9
14:30,68.51,70.01,228.9,228.9,52.0,18.4
14:45,121.87,88.23,228.3,228.7,0.0,23.3
15:00,100.49,81.09,230.8,228.8,20.6,21.4
15:15,75.36,72.34,232.6,228.9,46.0,19.1
15:30,69.66,70.37,233.0,228.9,52.0,18.5
15:45,47.59,62.8,233.8,229.0,74.4,16.5
16:00,57.25,66.09,233.4,229.0,65.1,17.4
16:15,65.51,68.91,232.7,228.9,57.1,18.2
16:30,83.05,74.96,231.5,228.8,39.9,19.8
16:45,84.2,75.35,231.6,228.8,39.1,19.9
17:00,86.28,76.09,231.8,228.8,37.5,20.1
17:15,107.34,83.47,231.0,228.7,17.4,22.0
17:30,123.27,89.13,231.6,228.6,2.6,23.5
17:45,131.72,90.5,231.9,228.6,0.0,23.9
18:00,131.51,96.46,231.9,228.4,19.4,25.4
18:15,139.07,99.22,231.8,228.3,13.4,26.2
18:30,151.99,103.89,233.3,228.3,2.0,27.4
18:45,155.29,105.09,231.8,228.3,0.0,27.7
19:00,163.73,104.87,232.3,228.3,0.0,27.7
19:15,158.01,103.58,232.5,228.3,0.0,27.3
19:30,155.72,101.56,232.7,228.3,0.0,26.8
19:45,157.41,99.35,233.2,228.4,0.0,26.2
20:00,157.21,97.15,232.6,228.5,0.0,25.6
20:15,153.03,94.94,234.1,228.5,0.0,25.0
20:30,159.1,92.72,234.0,228.6,0.0,24.4
20:45,151.85,90.5,234.5,228.6,0.0,23.9
21:00,155.2,88.28,234.8,228.7,0.0,23.3
21:15,151.63,86.05,234.8,228.7,0.0,22.7
21:30,147.01,83.82,235.1,228.8,0.0,22.1
21:45,146.79,81.64,234.5,228.9,0.0,21.5
22:00,135.68,79.66,235.2,228.9,0.0,21.0
22:15,137.27,78.0,232.6,229.0,0.0,20.6
22:30,130.84,76.55,233.9,229.0,0.0,20.2
22:45,125.17,75.15,230.8,229.0,0.0,19.8
23:00,117.42,73.75,231.8,229.1,0.0,19.4
23:15,112.85,72.35,229.5,229.1,0.0,19.1
23:30,109.71,70.95,229.9,229.1,0.0,18.7
23:45,111.61,69.69,227.4,229.2,0.0,18.4
